"ID","Naam","Type","Plaats","Adres","Website","PlaceID","Lat","Lng","Rating","Reviews"
"1036","Speelboerderij Den Scherpenberg","onderweg","Rucphen","Scherpenbergsebaan 53, Rucphen","True","True","51,515176","4,574589","True","True"
"1037","Speelboerderij Elsenhove","onderweg","Amstelveen","Bankrasweg 1, Amstelveen","True","True","52,297087","4,888853","True","True"
"1038","Speelboerderij Five Star Farm","onderweg","Kamperland","Baas Huisweg 11, Kamperland","True","True","51,57819","3,690382","True","True"
"1039","Speelboerderij Het Buitenbeest","onderweg","Zoetermeer","BelvÃ©dÃ¨rebos 270, Zoetermeer","True","True","52,059354","4,476674","True","True"
"1040","Speelboerderij Pierewiet ðŸ›","onderweg","Nieuwvliet","Mettenijedijk 16a, Nieuwvliet","True","True","51,373068","3,46844","True","True"
"1041","Speeltuin","onderweg","EarnewÃ¢ld","Koaidyk 12, EarnewÃ¢ld","False","True","53,125881","5,941582","True","True"
"1042","Speeltuin 't BaneblÃ¶kske","onderweg","Voerendaal","Parallelweg, Voerendaal","False","True","50,884662","5,924611","True","True"
"1043","Speeltuin 't Boartersplak","onderweg","FeanwÃ¢lden","De Iken, FeanwÃ¢lden","True","True","53,243623","5,992591","True","True"
"1044","Speeltuin ""De Hoef""","onderweg","Alkmaar","Mesdaglaan 180, Alkmaar","True","True","52,626677","4,719686","True","True"
"1045","Speeltuin ""de Souburgt""","onderweg","Oost-Souburg","Koopmansvoetpad 73, Oost-Souburg","True","True","51,471297","3,600171","True","True"
"1046","Speeltuin Beerta 't Speulparadies","onderweg","Beerta","Buitenlandenstraat 5, Beerta","True","True","53,172955","7,098262","True","True"
"1047","Speeltuin binnen dierenpark Hoenderdaell","onderweg","Anna Paulowna","Van Ewijckskade 1, Anna Paulowna","True","True","52,86803","4,852629","True","True"
"1048","Speeltuin Bynia State ðŸ›","onderweg","Harlingen","Harlingen","False","True","53,16106","5,425398","True","True"
